,mutation_probability,final fitness
0,0.0,0.11268120599999996
1,0.05,0.03545229399999998
2,0.1,0.018055189333333336
3,0.15,0.010827873333333333
4,0.2,0.009021883999999997
5,0.25,0.008024334666666669
6,0.3,0.006979193999999999
7,0.35,0.006512839333333332
0,0.0016666666666666668,0.08922961066666672
1,0.0033333333333333335,0.07752623533333332
2,0.005000000000000001,0.07555892133333332
3,0.006666666666666667,0.09454125599999998
4,0.008333333333333333,0.06738827266666665
5,0.010000000000000002,0.0905084973333334
6,0.011666666666666667,0.07895344266666661
7,0.013333333333333334,0.06492948733333334
8,0.015000000000000001,0.06580957066666668
9,0.016666666666666666,0.07212254266666665
10,0.018333333333333333,0.05772402333333332
11,0.020000000000000004,0.06326772333333332
12,0.021666666666666667,0.050733049333333335
13,0.023333333333333334,0.06494006333333334
14,0.025,0.06340490866666663
15,0.02666666666666667,0.06179717399999996
16,0.028333333333333335,0.04535520266666667
17,0.030000000000000002,0.044376243333333315
18,0.03166666666666667,0.05188474466666664
19,0.03333333333333333,0.04647052200000002
20,0.035,0.044277343333333344
21,0.03666666666666667,0.03961621266666667
22,0.03833333333333334,0.03572241666666665
23,0.04000000000000001,0.044015890666666654
24,0.041666666666666664,0.032075363333333336
25,0.043333333333333335,0.03718017866666667
26,0.045000000000000005,0.035894676
27,0.04666666666666667,0.028555325333333343
28,0.04833333333333334,0.035839372666666654
